episode,episode_action_type,episode_return,average_episode_return_noise_actions,average_episode_return_actor_actions,episode_grasp_success,#timesteps,#episodes,duration_episode,average_episode_duration
7413,simple,1.1220131197481766,nan,nan,True,15,15001,11.889,11.888999999
7414,simple,0.1253307326517483,nan,nan,False,15,15001,9.228,10.5585
7415,simple,0.12319790388091513,nan,nan,False,15,15001,9.366,10.160999999
7416,simple,1.1238698247155996,nan,nan,True,15,15001,10.366,10.212249999
7417,simple,1.1215846344709364,nan,nan,True,15,15001,9.364,10.0426
7418,simple,0.12179868471736405,nan,nan,False,15,15001,9.399000000000001,9.935333332999999
7419,simple,0.12330375322500334,nan,nan,False,15,15001,10.532,10.020571428
7420,simple,0.12400440831866397,nan,nan,False,15,15001,10.199,10.042875
7421,simple,1.1239455844476691,nan,nan,True,15,15001,9.399000000000001,9.971333333
7422,simple,0.12153900656677077,nan,nan,False,15,15001,9.663,9.9405
7423,simple,0.12100950124018715,nan,nan,False,15,15001,9.398,9.891181818
7424,simple,1.1248573240597806,nan,nan,True,15,15001,10.265,9.922333333
7425,simple,0.12041898379649774,nan,nan,False,15,15001,9.398,9.882
7426,simple,0.12314882302012282,nan,nan,False,15,15001,9.266,9.837999999
7427,simple,0.12155581514433227,nan,nan,False,15,15001,9.464,9.813066666
7428,simple,1.1264553959561174,nan,nan,True,15,15001,9.265,9.7788125
7429,simple,1.1233543736393279,nan,nan,True,15,15001,9.365,9.754470588
7430,simple,0.12190237352253408,nan,nan,False,15,15001,9.232,9.725444444
7431,simple,0.12235907781498204,nan,nan,False,15,15001,9.597,9.71868421
7432,simple,1.122087756967923,nan,nan,True,15,15001,9.332,9.699349999
7433,simple,0.13796514924658143,nan,nan,False,16,15001,9.964,9.71195238
7434,simple,0.12211002643965078,nan,nan,False,15,15001,10.398,9.743136363
7435,simple,1.1364753886795373,nan,nan,True,16,15001,10.099,9.758608695
7436,simple,1.1224837170453743,nan,nan,True,15,15001,9.6,9.752
7437,simple,0.12237860930211554,nan,nan,False,15,15001,9.264,9.73248
7438,simple,1.1232727706805365,nan,nan,True,15,15001,9.397,9.719576923
7439,simple,0.13854976775902286,nan,nan,False,16,15001,10.098,9.733592592
7440,simple,1.124173506861425,nan,nan,True,15,15001,9.265,9.716857142
7441,simple,1.1243916785590746,nan,nan,True,15,15001,9.464,9.708137931
7442,simple,0.13758945480822926,nan,nan,False,16,15001,10.098,9.721133333000001
7443,simple,1.1245550119312102,nan,nan,True,15,15001,9.466,9.712903225
7444,simple,0.1372512881907626,nan,nan,False,16,15001,10.064,9.723874999
7445,simple,0.12174012538988398,nan,nan,False,15,15001,10.798,9.756424242
7446,simple,0.12197582346216318,nan,nan,False,15,15001,10.432,9.776294116999999
7447,simple,0.12404512255018295,nan,nan,False,15,15001,9.43,9.7664
7448,simple,0.12077740719415928,nan,nan,False,15,15001,9.336,9.754444444
7449,simple,0.12203719788888331,nan,nan,False,15,15001,9.461,9.746513513
7450,simple,0.1226749335361177,nan,nan,False,15,15001,10.43,9.7645
7451,simple,0.12157244268900863,nan,nan,False,15,15001,10.565,9.785025641
7452,simple,1.122935444636551,nan,nan,True,15,15001,10.399000000000001,9.800374999
7453,simple,1.1243036212510238,nan,nan,True,15,15001,9.369,9.789853658
7454,simple,1.1236249317860354,nan,nan,True,15,15001,9.394,9.780428571
7455,simple,0.1215163996005916,nan,nan,False,15,15001,9.397,9.771511627
7456,simple,1.1224770200793148,nan,nan,True,15,15001,9.363,9.762227272
7457,simple,1.1224228224192578,nan,nan,True,15,15001,9.236,9.750533333
7458,simple,1.1240817457255152,nan,nan,True,15,15001,9.527,9.745673913
7459,simple,1.1250030642366662,nan,nan,True,15,15001,9.565,9.741829787
7460,simple,0.13537932280466464,nan,nan,False,16,15001,9.932,9.745791666
7461,simple,1.1235445408751281,nan,nan,True,15,15001,10.369,9.758510204
7462,simple,1.1359516074952825,nan,nan,True,16,15001,10.227,9.767879999
7463,simple,1.1245113391039263,nan,nan,True,15,15001,9.33,9.759294117
7464,simple,1.1202138510813517,nan,nan,True,15,15001,9.433,9.75301923
7465,simple,1.1384130061989342,nan,nan,True,16,15001,10.298,9.763301886
7466,simple,1.122225342600077,nan,nan,True,15,15001,9.33,9.755277777
7467,simple,0.1361629443771718,nan,nan,False,16,15001,9.931000000000001,9.758472727000001
7468,simple,0.12420935850626476,nan,nan,False,15,15001,9.33,9.750821428
